Item,Category,Stock,Daily_Sales,Reorder_Level,Lead_Time_Days
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",General,55.5,5.285714285714286,18.5,3
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",General,34.5,5.75,11.5,5
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",General,25.5,3.4,8.5,4
Acco Perma 2700 Stacking Storage Drawers,General,12.0,2.0,4.0,4
Acco Perma 3000 Stacking Storage Drawers,General,31.5,3.5,10.5,3
Acco Perma 4000 Stacking Storage Drawers,General,46.5,2.8181818181818183,15.5,4
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",General,36.0,4.8,12.0,3
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",General,55.5,4.625,18.5,5
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",General,67.5,4.090909090909091,22.5,7
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",General,42.0,3.111111111111111,14.0,5
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",General,15.0,2.5,5.0,7
Acco Side-Punched Conventional Columnar Pads,General,22.5,3.75,7.5,7
"Acco Six-Outlet Power Strip, 4' Cord Length",General,61.5,4.555555555555555,20.5,7
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,General,21.0,3.5,7.0,6
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",General,12.0,2.6666666666666665,4.0,3
Acco Suede Grain Vinyl Round Ring Binder,General,43.5,3.625,14.5,7
Acco Translucent Poly Ring Binders,General,46.5,3.875,15.5,6
Accohide Poly Flexible Ring Binders,General,51.0,4.25,17.0,7
"Acme 10"" Easy Grip Assistive Scissors",General,39.0,3.25,13.0,3
Acme Box Cutter Scissors,General,46.5,5.166666666666667,15.5,6
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",General,10.5,2.3333333333333335,3.5,4
Acme Design Stainless Steel Bent Scissors,General,19.5,4.333333333333333,6.5,7
Acme Elite Stainless Steel Scissors,General,18.0,2.4,6.0,6
Acme Forged Steel Scissors with Black Enamel Handles,General,48.0,4.0,16.0,7
Acme Galleria Hot Forged Steel Scissors with Colored Handles,General,19.5,4.333333333333333,6.5,4
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",General,54.0,5.142857142857143,18.0,7
Acme Kleen Earth Office Shears,General,18.0,2.4,6.0,4
Acme Kleencut Forged Steel Scissors,General,10.5,2.3333333333333335,3.5,3
Acme Office Executive Series Stainless Steel Trimmers,General,31.5,3.0,10.5,3
Acme Preferred Stainless Steel Scissors,General,24.0,4.0,8.0,3
Acme Rosewood Handle Letter Opener,General,18.0,4.0,6.0,6
Acme Serrated Blade Letter Opener,General,7.5,2.5,2.5,3
Acme Softgrip Scissors,General,34.5,5.75,11.5,6
Acme Stainless Steel Office Snips,General,19.5,3.25,6.5,7
Acme Tagit Stainless Steel Antibacterial Scissors,General,33.0,3.6666666666666665,11.0,4
Acme Titanium Bonded Scissors,General,19.5,2.6,6.5,3
Acme Value Line Scissors,General,33.0,2.2,11.0,3
Acrylic Self-Standing Desk Frames,General,55.5,4.625,18.5,7
"Adams ""While You Were Out"" Message Pads",General,36.0,4.8,12.0,6
"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",General,49.5,4.125,16.5,3
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",General,21.0,4.666666666666667,7.0,3
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",General,48.0,4.571428571428571,16.0,5
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",General,36.0,2.4,12.0,5
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",General,42.0,4.0,14.0,4
"Adams Telephone Message Books, 5 1/4 x 11",General,22.5,3.0,7.5,4
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",General,12.0,2.6666666666666665,4.0,6
Adjustable Depth Letter/Legal Cart,General,67.5,3.75,22.5,3
Adjustable Personal File Tote,General,27.0,3.6,9.0,3
Adtran 1202752G1,General,27.0,3.6,9.0,7
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",General,27.0,4.5,9.0,4
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",General,42.0,5.6,14.0,7
Advantus Map Pennant Flags and Round Head Tacks,General,37.5,4.166666666666667,12.5,3
Advantus Motivational Note Cards,General,30.0,4.0,10.0,6
Advantus Panel Wall Acrylic Frame,General,30.0,4.0,10.0,7
Advantus Panel Wall Certificate Holder - 8.5x11,General,34.5,3.8333333333333335,11.5,5
Advantus Plastic Paper Clips,General,70.5,4.7,23.5,5
Advantus Push Pins,General,40.5,3.857142857142857,13.5,4
"Advantus Push Pins, Aluminum Head",General,36.0,4.8,12.0,3
Advantus Rolling Drawer Organizers,General,46.5,5.166666666666667,15.5,7
Advantus Rolling Storage Box,General,40.5,2.7,13.5,6
Advantus SlideClip Paper Clips,General,22.5,5.0,7.5,6
Advantus T-Pin Paper Clips,General,24.0,3.2,8.0,7
Airmail Envelopes,General,28.5,3.1666666666666665,9.5,3
Akro Stacking Bins,General,19.5,2.1666666666666665,6.5,3
Akro-Mils 12-Gallon Tote,General,19.5,3.25,6.5,3
"Alliance Big Bands Rubber Bands, 12/Pack",General,22.5,3.75,7.5,4
Alliance Rubber Bands,General,12.0,4.0,4.0,3
"Alliance Super-Size Bands, Assorted Sizes",General,40.5,6.75,13.5,7
Alphabetical Labels for Top Tab Filing,General,55.5,4.111111111111111,18.5,7
Aluminum Document Frame,General,33.0,4.4,11.0,7
Aluminum Screw Posts,General,61.5,3.727272727272727,20.5,4
AmazonBasics 3-Button USB Wired Mouse,General,21.0,2.8,7.0,3
American Pencil,General,31.5,3.5,10.5,6
Ames Color-File Green Diamond Border X-ray Mailers,General,27.0,4.5,9.0,7
Ampad #10 Peel & Seel Holiday Envelopes,General,18.0,4.0,6.0,3
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",General,21.0,3.5,7.0,4
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",General,37.5,3.125,12.5,4
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾ x 11",General,30.0,4.0,10.0,5
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",General,13.5,2.25,4.5,6
Anderson Hickey Conga Table Tops & Accessories,General,7.5,2.5,2.5,4
"Angle-D Binders with Locking Rings, Label Holders",General,63.0,4.2,21.0,7
Angle-D Ring Binders,General,21.0,2.3333333333333335,7.0,6
Anker 24W Portable Micro USB Car Charger,General,12.0,4.0,4.0,7
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,General,33.0,3.6666666666666665,11.0,7
Anker Astro 15000mAh USB Portable Charger,General,19.5,2.6,6.5,5
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,General,13.5,2.25,4.5,4
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,General,39.0,5.2,13.0,4
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,General,25.5,4.25,8.5,3
Apple EarPods with Remote and Mic,General,15.0,2.5,5.0,5
Apple iPhone 5,General,36.0,4.0,12.0,5
Apple iPhone 5C,General,22.5,3.75,7.5,5
Apple iPhone 5S,General,16.5,2.75,5.5,3
Array Memo Cubes,General,16.5,3.6666666666666665,5.5,7
"Array Parchment Paper, Assorted Colors",General,22.5,3.75,7.5,7
Artistic Insta-Plaque,General,15.0,3.3333333333333335,5.0,6
Assorted Color Push Pins,General,31.5,2.625,10.5,5
Astroparche Fine Business Paper,General,43.5,4.833333333333333,14.5,4
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",General,18.0,3.0,6.0,6
Ativa MDM8000 8-Sheet Micro-Cut Shredder,General,16.5,5.5,5.5,5
Ativa V4110MDD Micro-Cut Shredder,General,16.5,5.5,5.5,4
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",General,4.5,1.5,1.5,5
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",General,52.5,4.375,17.5,6
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",General,40.5,4.5,13.5,4
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",General,39.0,3.25,13.0,3
Avanti 1.7 Cu. Ft. Refrigerator,General,36.0,6.0,12.0,4
Avanti 4.4 Cu. Ft. Refrigerator,General,36.0,3.4285714285714284,12.0,3
Avaya 4621SW VoIP phone,General,18.0,3.0,6.0,4
Avaya 5410 Digital phone,General,19.5,3.25,6.5,5
Avaya 5420 Digital phone,General,18.0,4.0,6.0,4
Avaya IP Phone 1140E VoIP phone,General,7.5,5.0,2.5,7
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",General,7.5,2.5,2.5,3
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",General,40.5,4.5,13.5,3
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",General,64.5,3.909090909090909,21.5,6
Avery 473,General,36.0,4.0,12.0,7
Avery 474,General,45.0,3.3333333333333335,15.0,4
Avery 475,General,27.0,4.5,9.0,3
Avery 476,General,55.5,3.7,18.5,6
Avery 477,General,30.0,5.0,10.0,4
Avery 478,General,27.0,4.5,9.0,5
Avery 479,General,10.5,2.3333333333333335,3.5,6
Avery 48,General,22.5,5.0,7.5,6
Avery 480,General,36.0,4.0,12.0,5
Avery 481,General,45.0,6.0,15.0,5
Avery 482,General,6.0,2.0,2.0,3
Avery 483,General,28.5,3.1666666666666665,9.5,3
Avery 484,General,6.0,4.0,2.0,4
Avery 485,General,76.5,6.375,25.5,3
Avery 486,General,36.0,2.6666666666666665,12.0,6
Avery 487,General,37.5,3.5714285714285716,12.5,6
Avery 488,General,25.5,2.8333333333333335,8.5,4
Avery 489,General,24.0,3.2,8.0,7
Avery 49,General,36.0,4.0,12.0,7
Avery 490,General,19.5,2.6,6.5,4
Avery 491,General,18.0,4.0,6.0,7
Avery 492,General,30.0,4.0,10.0,3
Avery 493,General,19.5,3.25,6.5,3
Avery 494,General,34.5,3.8333333333333335,11.5,7
Avery 495,General,24.0,4.0,8.0,5
Avery 496,General,21.0,3.5,7.0,7
Avery 497,General,12.0,4.0,4.0,4
Avery 498,General,19.5,4.333333333333333,6.5,5
Avery 499,General,60.0,3.6363636363636362,20.0,3
Avery 5,General,3.0,2.0,1.0,6
Avery 50,General,30.0,4.0,10.0,7
Avery 500,General,12.0,4.0,4.0,3
Avery 501,General,33.0,2.75,11.0,6
Avery 502,General,10.5,2.3333333333333335,3.5,6
Avery 503,General,22.5,3.75,7.5,6
Avery 505,General,42.0,4.0,14.0,7
Avery 506,General,25.5,5.666666666666667,8.5,5
Avery 507,General,15.0,5.0,5.0,6
Avery 508,General,28.5,3.1666666666666665,9.5,6
Avery 509,General,19.5,3.25,6.5,5
Avery 51,General,24.0,3.2,8.0,3
Avery 510,General,10.5,2.3333333333333335,3.5,4
Avery 511,General,30.0,3.3333333333333335,10.0,5
Avery 512,General,48.0,6.4,16.0,5
Avery 513,General,33.0,4.4,11.0,5
Avery 514,General,25.5,4.25,8.5,7
Avery 515,General,7.5,2.5,2.5,3
Avery 516,General,22.5,3.75,7.5,3
Avery 517,General,19.5,3.25,6.5,3
Avery 518,General,52.5,4.375,17.5,4
Avery 519,General,27.0,3.0,9.0,4
Avery 52,General,28.5,3.1666666666666665,9.5,6
Avery 520,General,22.5,3.0,7.5,4
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",General,42.0,4.0,14.0,5
Avery Arch Ring Binders,General,60.0,4.0,20.0,6
Avery Binder Labels,General,12.0,2.0,4.0,3
Avery Binding System Hidden Tab Executive Style Index Sets,General,39.0,3.25,13.0,3
Avery Durable Binders,General,75.0,4.166666666666667,25.0,4
"Avery Durable Plastic 1"" Binders",General,51.0,4.857142857142857,17.0,6
Avery Durable Poly Binders,General,49.5,5.5,16.5,6
Avery Durable Slant Ring Binders,General,28.5,3.8,9.5,4
Avery Durable Slant Ring Binders With Label Holder,General,54.0,4.0,18.0,7
"Avery Durable Slant Ring Binders, No Labels",General,54.0,4.0,18.0,7
Avery File Folder Labels,General,66.0,3.3846153846153846,22.0,6
"Avery Flip-Chart Easel Binder, Black",General,25.5,4.25,8.5,7
Avery Fluorescent Highlighter Four-Color Set,General,36.0,3.0,12.0,6
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",General,28.5,3.1666666666666665,9.5,7
Avery Hanging File Binders,General,39.0,4.333333333333333,13.0,6
Avery Heavy-Duty EZD  Binder With Locking Rings,General,42.0,4.666666666666667,14.0,7
Avery Heavy-Duty EZD View Binder with Locking Rings,General,61.5,4.1,20.5,3
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",General,6.0,2.0,2.0,7
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",General,46.5,5.166666666666667,15.5,6
Avery Hi-Liter Fluorescent Desk Style Markers,General,9.0,3.0,3.0,4
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",General,13.5,4.5,4.5,3
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,General,3.0,2.0,1.0,7
Avery Hi-Liter Smear-Safe Highlighters,General,36.0,4.0,12.0,6
Avery Hidden Tab Dividers for Binding Systems,General,36.0,3.4285714285714284,12.0,7
Avery Hole Reinforcements,General,48.0,3.5555555555555554,16.0,7
Avery Legal 4-Ring Binder,General,24.0,4.0,8.0,3
Avery Metallic Poly Binders,General,46.5,5.166666666666667,15.5,4
Avery Non-Stick Binders,General,106.5,3.55,35.5,5
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,General,18.0,4.0,6.0,5
Avery Personal Creations Heavyweight Cards,General,16.5,3.6666666666666665,5.5,7
Avery Poly Binder Pockets,General,51.0,4.25,17.0,6
Avery Premier Heavy-Duty Binder with Round Locking Rings,General,31.5,3.0,10.5,4
Avery Printable Repositionable Plastic Tabs,General,24.0,2.6666666666666665,8.0,5
Avery Recycled Flexi-View Covers for Binding Systems,General,48.0,4.571428571428571,16.0,3
Avery Reinforcements for Hole-Punch Pages,General,61.5,5.125,20.5,3
Avery Round Ring Poly Binders,General,25.5,2.8333333333333335,8.5,3
Avery Self-Adhesive Photo Pockets for Polaroid Photos,General,61.5,3.727272727272727,20.5,5
"Avery Trapezoid Extra Heavy Duty 4"" Binders",General,22.5,3.75,7.5,5
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",General,33.0,3.142857142857143,11.0,5
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",General,37.5,4.166666666666667,12.5,6
Avery White Multi-Purpose Labels,General,30.0,5.0,10.0,3
Avoid Verbal Orders Carbonless Minifold Book,General,31.5,4.2,10.5,7
BIC Brite Liner Grip Highlighters,General,25.5,3.4,8.5,4
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",General,43.5,4.833333333333333,14.5,6
BIC Brite Liner Highlighters,General,34.5,3.2857142857142856,11.5,3
"BIC Brite Liner Highlighters, Chisel Tip",General,31.5,3.5,10.5,7
BIC Liqua Brite Liner,General,40.5,4.5,13.5,3
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",General,45.0,5.0,15.0,4
"BOSTON Ranger #55 Pencil Sharpener, Black",General,40.5,3.0,13.5,4
BPI Conference Tables,General,39.0,5.2,13.0,5
Bady BDG101FRU Card Printer,General,21.0,3.5,7.0,7
Bagged Rubber Bands,General,31.5,4.2,10.5,4
Balt Solid Wood Rectangular Table,General,16.5,2.75,5.5,4
Balt Solid Wood Round Tables,General,28.5,4.75,9.5,6
Balt Split Level Computer Training Table,General,18.0,2.4,6.0,5
Barrel Sharpener,General,28.5,4.75,9.5,3
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",General,24.0,3.2,8.0,5
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",General,3.0,2.0,1.0,6
"Belkin 19"" Center-Weighted Shelf, Gray",General,24.0,4.0,8.0,5
"Belkin 19"" Vented Equipment Shelf, Black",General,46.5,3.1,15.5,3
"Belkin 325VA UPS Surge Protector, 6'",General,19.5,3.25,6.5,3
Belkin 5 Outlet SurgeMaster Power Centers,General,60.0,4.0,20.0,4
Belkin 6 Outlet Metallic Surge Strip,General,43.5,3.2222222222222223,14.5,4
Belkin 7 Outlet SurgeMaster II,General,24.0,5.333333333333333,8.0,4
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,General,7.5,5.0,2.5,6
Belkin 7-Outlet SurgeMaster Home Series,General,15.0,2.0,5.0,5
Belkin 8 Outlet Surge Protector,General,45.0,4.285714285714286,15.0,5
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,General,22.5,3.0,7.5,6
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,General,12.0,8.0,4.0,6
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,General,6.0,2.0,2.0,6
Belkin F5C206VTEL 6 Outlet Surge,General,33.0,3.142857142857143,11.0,6
Belkin F8E887 USB Wired Ergonomic Keyboard,General,31.5,2.625,10.5,5
Belkin F9G930V10-GRY 9 Outlet Surge,General,24.0,3.2,8.0,5
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,General,43.5,3.625,14.5,5
Belkin F9M820V08 8 Outlet Surge,General,22.5,5.0,7.5,4
Belkin F9S820V06 8 Outlet Surge,General,25.5,4.25,8.5,4
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,General,12.0,2.6666666666666665,4.0,5
Belkin OmniView SE Rackmount Kit,General,10.5,3.5,3.5,3
Belkin Premiere Surge Master II 8-outlet surge protector,General,39.0,3.7142857142857144,13.0,4
Belkin QODE FastFit Bluetooth Keyboard,General,13.5,4.5,4.5,6
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",General,31.5,4.2,10.5,6
Belkin Standard 104 key USB Keyboard,General,31.5,3.5,10.5,6
Belkin iPhone and iPad Lightning Cable,General,10.5,3.5,3.5,3
Berol Giant Pencil Sharpener,General,25.5,4.25,8.5,7
Bestar Classic Bookcase,General,46.5,3.875,15.5,5
Bevis 36 x 72 Conference Tables,General,60.0,5.0,20.0,4
Bevis 44 x 96 Conference Tables,General,30.0,4.0,10.0,5
Bevis Boat-Shaped Conference Table,General,22.5,2.5,7.5,5
"Bevis Oval Conference Table, Walnut",General,54.0,4.5,18.0,4
Bevis Rectangular Conference Tables,General,19.5,3.25,6.5,3
"Bevis Round Bullnose 29"" High Table Top",General,36.0,4.8,12.0,5
Bevis Round Conference Room Tables and Bases,General,6.0,2.0,2.0,7
Bevis Round Conference Table Top & Single Column Base,General,28.5,3.8,9.5,3
"Bevis Round Conference Table Top, X-Base",General,30.0,3.3333333333333335,10.0,7
Bevis Steel Folding Chairs,General,36.0,4.0,12.0,6
"Bevis Traditional Conference Table Top, Plinth Base",General,13.5,3.0,4.5,7
Binder Clips by OIC,General,40.5,3.857142857142857,13.5,5
Binder Posts,General,24.0,2.6666666666666665,8.0,6
Binding Machine Supplies,General,48.0,3.5555555555555554,16.0,6
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",General,30.0,2.857142857142857,10.0,5
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",General,7.5,2.5,2.5,7
"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",General,33.0,4.4,11.0,4
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",General,12.0,2.6666666666666665,4.0,3
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",General,18.0,4.0,6.0,6
Bionaire 99.97% HEPA Air Cleaner,General,24.0,4.0,8.0,5
Bionaire Personal Warm Mist Humidifier/Vaporizer,General,16.5,3.6666666666666665,5.5,7
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,General,42.0,4.666666666666667,14.0,4
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",General,24.0,4.0,8.0,3
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",General,16.5,2.75,5.5,6
"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",General,28.5,4.75,9.5,7
BlackBerry Q10,General,40.5,4.5,13.5,7
Blackstonian Pencils,General,28.5,4.75,9.5,3
Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,General,31.5,5.25,10.5,6
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",General,33.0,3.142857142857143,11.0,5
"BlueLounge Milo Smartphone Stand, White/Metallic",General,18.0,4.0,6.0,5
Bose SoundLink Bluetooth Speaker,General,27.0,3.6,9.0,5
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,General,40.5,3.857142857142857,13.5,3
Boston 16701 Slimline Battery Pencil Sharpener,General,9.0,3.0,3.0,5
Boston 16750 Black Compact Battery Pencil Sharpener,General,7.5,2.5,2.5,6
Boston 16765 Mini Stand Up Battery Pencil Sharpener,General,15.0,2.5,5.0,3
Boston 16801 Nautilus Battery Pencil Sharpener,General,34.5,3.8333333333333335,11.5,3
Boston 1730 StandUp Electric Pencil Sharpener,General,12.0,2.6666666666666665,4.0,7
Boston 1799 Powerhouse Electric Pencil Sharpener,General,22.5,5.0,7.5,5
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",General,4.5,1.5,1.5,7
Boston 1900 Electric Pencil Sharpener,General,1.5,1.0,0.5,7
Boston 19500 Mighty Mite Electric Pencil Sharpener,General,25.5,4.25,8.5,4
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",General,30.0,2.5,10.0,3
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,General,37.5,5.0,12.5,5
Boston Home & Office Model 2000 Electric Pencil Sharpeners,General,19.5,2.1666666666666665,6.5,6
Boston KS Multi-Size Manual Pencil Sharpener,General,37.5,3.5714285714285716,12.5,3
"Boston Model 1800 Electric Pencil Sharpener, Gray",General,22.5,5.0,7.5,6
